instance,text,category
1,Uitleggen dat de arts hem over twee weken wilde terugzien en dat dit dus niet strookt met de mogelijkheden van zijn agenda. Mocht dit niet helpen dan heeft de arts zijn praktijkvoering niet op orde en wordt het tijd om een andere arts te zoeken.,passive
2,Jan moet uitleggen dat de arts hem heeft gevraagd om over twee  weken terug te komen en er op staan dat er dan een afspraak moet worden gemaakt,proactive
3,Jan moet dat beslist niet nemen en er  op staan om een versnelde afspraak,proactive
4,Assistente contact met arts laten opnemen omdaat het niet voor niets is dat afspraak over 2 weken moeten zijn. Indien afspraak alsnog niet eerder dan die maand gepland kan worden zou ik proberen rechtstreeks met arts contact op te nemen.,proactive
5,Stellen dat de arts het nodig vindt om over 2 weken terug te komen,passive
6,"jan zou kenbaar moeten maken, dat de arts hem over 2 weken weer wil zien en dat de receptie eventueel even kortsluit met de arts of die afspraak moet blijven staan of dat een termijn van een maand ook kan.",proactive
7,de receptie wijzen op het gesprek met de dokter en vragen of ze even met de dokter kunnen overleggen wat verantwoord is.,proactive
8,"Met de arts overleggen wat het beste is om te doen, bijvoorbeeld of er toch nog plek kan worden gemaakt over 2 weken, of anders bij een andere arts langsgaan (in overleg met de huidige arts) als langer dan 2 weken wachten niet wordt aangeraden.",proactive
9,Jan zou er alles aan moeten doen direct contact te krijgen met de arts en het met hem uitwerken.,proactive
10,aangeven dat dat niet de wens van de arts,passive
11,Toch proberen een afspraak te krijgen over twee weken,passive
12,Op een afspraak op kortere termijn staan,proactive
13,er opstaan dat er toch over max 2 weken een afspraak ingepland wordt,proactive
14,Jan zou bij de receptie duidelijk moeten maken dat de arts het raadzaam vond om na twee weken te kijken of de conditie was verbeterd.Dus Jan moet er op staan dat die afspraak ook wordt gemaakt.,proactive
15,Aangeven dat het belangrijk is om met 2 weken gezien te worden. al zal heus wel een mogelijkheid zijn om gezien te worden.,passive
16,Duidelijk te kennen geven dat de arts had gezegd een afrspraak met hem te willen over twee weken!! Hierop staan.,proactive
17,Bij de receptie aandringen voor een afspraak bij een collega arts.  Zoniet dan in elk geval afspraak maken bij bestaande arts. Het heeft weinig zin om binnen een maand naar een ander ziekenhuis te gaan.,proactive
18,de arts er op wijzen,proactive
19,"De receptie er op wijzen, dat de afspraak met de arts is gemaakt om over 14 dagen terug te komen.",passive
20,Aangeven bij de receptie dat de arts hem over 2 weken wilt zien.,passive
21,jan moet bij de receptie mededelen dat hij met de arts heeft afgesproken om over  twee weken terug te komen en iet over een maand en dat de arts ztch daaraan oet houden .,proactive
22,gewoon afspraak maken en alvast aan zijn conditie gaan werken,passive
23,Vertellen dat de arts hem over 2 weken weer wil zien en dat de receptie anders maar contact op moet nemen met de arts. Er moet toch iets geregeld kunnen worden?,proactive
24,zeggen dat de arts over 2 weken wilde,passive
25,"Jan kan het beste werken aan zijn conditie,dat is goed voor hem.En dan een paar weken later naar de arts.",passive
26,Afhankelijk van zijn situatie kan hij daar genoegen mee nemen of moet hij erop staan dat hij over twee weken weer bij de arts terecht kan.,proactive
27,toch terug rapporteren naar de arts!,proactive
28,"Jan zou moeten vertellen dat de arts hem had gevraagd om over 2 weken terug te komen en daar vervolgens op moeten staan , dat dit gebeurt.... Receptie zou daar aan  moeten werken in overleg met betreffende arts...2 weken= 2weken !",proactive
29,"Moeten zorgen dat die afspraak echt binnen twee weken zou plaatsvinden, desnoods dreigen met hulp van buitenaf (instantie i.d.)",proactive
30,zeker aandringen dat de afspraak over twee weken gemaakt moet worden,proactive
31,Vragen of er een andere arts of assistent tijd beschikbaar heeft over 2 weken.,proactive
32,Zeggen dat hij over 2 weken terug moest komen.,passive
33,terug naar de arts en daar tegen zeggen dat er iets aan de communicatie schoort binnen zijn organisatie,proactive
34,Zeggen dat de arts heeft gezegd dat het over 2 weken moest.,passive
35,Er op staan om over twee weken toch een afspraak vast te leggen omdat de arts Jan over twee weken wil zien.,proactive
36,Zeggen dat de arts hem heeft gevraagd over 2 weken terug te komen en of er echt geen mogelijkheid daartoe is.,passive
37,andere arts nemen,destructive
38,Aangeven dat de arts 2 weken zei,passive
39,Zeggen dat de arts wilde dat hij al na 2weken terug moest komen en dat de afspraak niet lang zou zijn. Als dit niet help ragen of ze jan willen bellen als iemand uitvalt.,somewhat
40,er op staan dat de afspraak gemaakt wordt voor over 2 weken.,proactive
41,"zeggen dat de arst heb vroeg om over twee weken terug te komen, maar als het echt niet kan , dan moet het maar.",passive
43,zeggen dat hij over 2 weken meost van de arts,passive
44,Receptioniste naar arts verwijzen dat hij over twee weken terug moet komen van de huisarts.,proactive
45,Aangeven dat hij toch wel na 2 weken een afspraak wil hebben omdat dit door de arts geadviseerd is.,passive
46,Naar een andere dokter gaan,destructive
47,"Aan de receptie vragen om contact op te nemen met de arts, omdat die het advies heeft gegeven om over veertien dagen terug te komen.",proactive
48,toch proberen de afspraak over 14dagen te zetten op advies van de arts,passive
49,naar de huisartsenpost gaan,proactive
50,"zeggen dat hij op verzoek van zijn arts toch over 2 weken terug wil komen en n maand te lang vind,vragen of de receptionisthierover contact op wil nemen met de arts.",proactive
51,"Expliciet bij de receptie melden dat de arts hem over 2 weken terug wil zien en daarom vragen of hij toch eerder kan worden ingepland.  Als de receptioniste zegt dat dat echt niet kan, dan vragen of ze wil overleggen met de arts.",proactive
52,"Als de arts er op staat dat Jan over twee weken moet terugkomen, dan dient het afsprakenbureau daar rekening mee te houden af anders bij de arts te informerenof langer uitstel dan twee weken verantwoord is.",proactive
53,"Er bij de receptie op aandringen, dat de arts gezegd heeft dat hij over twee weken terug moet komen bij de arts. En dat er toch echt een afspraak gemaakt moet worden voor over twee weken.",proactive
54,afspraak maken over een maand,passive
55,"eisen dat de afspraak gemaakt wordt over 2 weken, zoals de arts vraagt.",proactive
56,Uitleggen dat de dokter een andere periode had afgesproken.,passive
57,"Toch vragen om eerder op afspraak te komen, omdat dit een advies van arts is.",passive
58,Afspraak maken en op de reservelijst laten plaatsen.,somewhat
59,"Voor een latere afspraak maken, en erbij zeggen dat het spoed was,",passive
60,blijven aandringen,proactive
61,receptie verwijzen naar de arts en zo toch een afspraak regelen over 2 weken.,proactive
62,"Aan de receptioniste aangeven dat de arts heeft aangegeven dat over twee weken een nieuwe afspraak moest worden ingepland. Met verzoek dit te verifieren bij de arts, mocht zij hier vraagtekens bij zetten.     Wanneer blijkt dat er echt geen ruimte is, afspreken dat met hem contact wordt opgenomen als er eerder dan de afspraak die er nu gemaakt wordt ruimte is in de agenda. Zodat de afspraak toch eerder kan plaatsvinden dan de maand de nu genoemd wordt.     Daarnaast zou ik Jan vertellen dat hij nu mooi 4 weken heeft om zijn conditie te verbeteren.",proactive
63,"jan zou er op aan moeten dringen, dat het echt noodzakelijk is dat hij eerder langs komt. De arts heeft dat gezegd, ipv twee weken, lukt misschien 3 weken. Niet zomaar opgeven.",proactive
64,zeggen dat hij van de dokter over twee weken terug moet komen of ze dat even bij de dokter willen navragen,proactive
65,Tegen de receptioniste zeggen dat de arts hem echt over 2 weken wil zien en niet over en maand,passive
66,"Doordat zijn arts hem vroeg om na 2 weken terug te komen, vind ik het logisch dat de assistent hiervan nota neemt en hem niet langer laat wachten. Ik persoonlijk zou hierop staan en dit vertellen aan de assistent.",proactive
67,Jan zou   even naar zijn huisarts moeten bellen en de situatie  aan huisarts uitleggen.,somewhat
68,Kijken of het niet bij een andere arts kan,proactive
69,Een afspraak met een andere arts maken.,destructive
70,hem vertellen dat de afspraak met de dokter belangrijk genoeg kon zijn om over 2 weken terug te komen want de Arts stelde het zelf voor,passive
71,"zeggen dat het advies van de dokter is om met twee weken terug te komen ,dat ze dat dus moet navragen waar hij bij staat.",proactive
72,erop staan binnen nu en twee weken afspraak,proactive
73,zeggen dat de arts hem over 2weken wil zien en niet over 4,passive
74,protesteren en er op staan dat de afspraak gemaaakt kan worden zoals afgesproken met de arts,proactive
75,Erop aandringen dat de afspraak eerder moet komen.,proactive
76,de afspraak over een maand maken,passive
77,"Over een maand terug komen, geen probleem",passive
78,Hou zou kunnen vragen om met de dokter te willen spreken en hem te vragen of hij een gaatje in zijn agenda voor hem heeft.,proactive
79," hem advieseren: neem geen genoegen met de lange wachttijd, wacht tot de arts een andere pati‰nt binnen vraagt en spreek de arts aan over de te lange wachttijd en hoe hij dit met zijn assistent  oplost.",proactive
80,Een afspraak over 2 weken regelen en niet accepteren ald dat nioet zou kunnen.,proactive
81,Aangeven dat de arts had gezegd dat er een afspraak over 2 weken moest zijn,passive
82,Bij de sdoktersassistente aangeven dat het de wens is van de arts om binnen twee weken terug te komen.,passive
83,"Ik zou tegen de receptioniste aangeven dat het over 2 weken moet, en dat er anders eerst moet worden overlegt met de arts of een maand ook goed is.",proactive
84,er op staan om op een veel kortere termijn een nieuwe afspraak te maken,proactive
